location_id,state_ut,district,Disease,year,week,Cases,preci,LAI,Temp,Latitude,Longitude
Arunachal Pradesh_East Kameng_Acute Diarrhoeal Disease,Arunachal Pradesh,East Kameng,Acute Diarrhoeal Disease,2010,28,30,3.4182755775,5.0,286.4483333,27.3,93.05
Arunachal Pradesh_East Kameng_Acute Diarrhoeal Disease,Arunachal Pradesh,East Kameng,Acute Diarrhoeal Disease,2011,10,101,0.5065819908,21.0,280.552,27.3,93.05
Arunachal Pradesh_East Kameng_Acute Diarrhoeal Disease,Arunachal Pradesh,East Kameng,Acute Diarrhoeal Disease,2011,11,121,0.5065819908,21.0,280.552,27.3,93.05
Arunachal Pradesh_East Kameng_Acute Diarrhoeal Disease,Arunachal Pradesh,East Kameng,Acute Diarrhoeal Disease,2011,21,225,0.5065819908,21.0,280.552,27.3,93.05
Arunachal Pradesh_East Kameng_Acute Diarrhoeal Disease,Arunachal Pradesh,East Kameng,Acute Diarrhoeal Disease,2011,22,239,0.5065819908,21.0,280.552,27.3,93.05
Arunachal Pradesh_East Kameng_Acute Diarrhoeal Disease,Arunachal Pradesh,East Kameng,Acute Diarrhoeal Disease,2013,5,29,0.1920768368,24.0,284.4833334,27.3,93.05
Arunachal Pradesh_East Kameng_Acute Diarrhoeal Disease,Arunachal Pradesh,East Kameng,Acute Diarrhoeal Disease,2013,7,40,0.1920768368,24.0,284.4833334,27.3,93.05
Arunachal Pradesh_East Kameng_Acute Diarrhoeal Disease,Arunachal Pradesh,East Kameng,Acute Diarrhoeal Disease,2015,46,27,1.178883881,39.0,289.1766666,27.3,93.05
Arunachal Pradesh_East Kameng_Acute Diarrhoeal Disease,Arunachal Pradesh,East Kameng,Acute Diarrhoeal Disease,2018,6,17,0.7054884658,6.0,283.676,27.3,93.05
Arunachal Pradesh_East Kameng_Acute Diarrhoeal Disease,Arunachal Pradesh,East Kameng,Acute Diarrhoeal Disease,2019,34,45,1.301433854,49.0,291.0933334,27.3,93.05
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2010,23,4,1.901711645,2.0,289.49,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2010,35,12,0.485282387,21.0,300.14,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2010,49,166,0.01781948214,19.0,301.19,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2011,23,4,1.323451787,11.0,300.05,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2012,21,86,0.8280119688,15.0,299.212,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2012,26,23,1.913111273,11.0,283.66,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2012,39,67,2.309937183,2.0,298.584,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2013,16,33,1.191392867,6.0,293.445,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2014,23,68,0.2138732549,11.0,303.0333334,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2014,24,68,0.2138732549,11.0,303.0333334,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2014,46,42,0.00108423338,21.0,302.3666666,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2015,45,28,0.06220711313,20.0,299.8933334,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2016,7,10,0.03025554285,21.0,292.9166666,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2017,9,21,0.0124046834,21.0,298.1166666,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2017,13,8,0.5398165781,21.0,292.68,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2017,52,30,0.000170675394,12.0,296.016,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2019,19,9,0.889684084,21.0,294.38,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2019,25,70,0.5659578779,12.0,302.32,27.4844597,94.9019447
Assam_Dibrugarh_Acute Diarrhoeal Disease,Assam,Dibrugarh,Acute Diarrhoeal Disease,2020,6,6,0.01485558021,10.0,292.3933334,27.4844597,94.9019447
