location_id,state_ut,district,Disease,year,week,Cases,preci,LAI,Temp,Latitude,Longitude
Andhra Pradesh_Anantapur_Acute Diarrhoeal Disease,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2011,25,46,0.02771473402,9.0,307.82,14.6546235,77.55625984
Andhra Pradesh_Anantapur_Acute Diarrhoeal Disease,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2011,26,82,0.02771473402,9.0,307.82,14.6546235,77.55625984
Andhra Pradesh_Anantapur_Acute Diarrhoeal Disease,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2011,35,25,0.2521427967,7.0,303.11,14.6546235,77.55625984
Andhra Pradesh_Anantapur_Acute Diarrhoeal Disease,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2012,21,25,0.08289797767,3.0,312.8,14.6546235,77.55625984
Andhra Pradesh_Anantapur_Acute Diarrhoeal Disease,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2013,23,59,0.1960967701,2.0,303.11,14.6546235,77.55625984
Andhra Pradesh_Anantapur_Acute Diarrhoeal Disease,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2013,32,34,0.03424359017,9.0,308.62,14.6546235,77.55625984
Andhra Pradesh_Anantapur_Acute Diarrhoeal Disease,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2014,26,12,0.00685651061,3.0,307.90500000000003,14.6546235,77.55625984
Andhra Pradesh_Anantapur_Acute Diarrhoeal Disease,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2015,25,71,0.1592405045,5.0,313.15000000000003,14.6546235,77.55625984
Andhra Pradesh_Anantapur_Acute Diarrhoeal Disease,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2016,22,11,0.09720540554,4.0,312.5,14.6546235,77.55625984
Andhra Pradesh_Anantapur_Acute Diarrhoeal Disease,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2021,8,30,3.87e-05,9.0,313.216,14.6546235,77.55625984
Andhra Pradesh_Anantapur_Acute Diarrhoeal Disease,Andhra Pradesh,Anantapur,Acute Diarrhoeal Disease,2021,9,30,3.87e-05,9.0,313.216,14.6546235,77.55625984
Andhra Pradesh_Chittoor_Acute Diarrhoeal Disease,Andhra Pradesh,Chittoor,Acute Diarrhoeal Disease,2010,15,14,0.05093987381,7.0,310.872,13.1601048,79.15555062
